Polnnaim%Sokrnaim%Adrefina%Domeimja%Nometele%INN%OGR%Infoo%Unna9%Unna10%Perefina%Otmeo%Dataobra
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛОМБАРД ""АЛЬБАТРОС"""%"ООО ""ЛОМБАРД ""АЛЬБАТРОС"""%453505, Республика Башкортостан, БЕЛОРЕЦКИЙ РАЙОН, г. БЕЛОРЕЦК, УЛИЦА КАРЛА МАРКСА, 50%lombard_albatros@mail.ru; -%тел.: +7 (962) 527-74-61%256012968.0%1020201625982.0%-%02.04.2008%Деятельность ломбарда%Предоставление краткосрочных займов гражданам и хранение вещей%%
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛОМБАРД-ГЛОРИЯ"""%"ООО ""ЛОМБАРД-ГЛОРИЯ"""%452620, Республика Башкортостан, г. ОКТЯБРЬСКИЙ, УЛИЦА ОСТРОВСКОГО, ДОМ 53, ОФИС 23%lombard-gloria@mail.ru; -%тел.: +7 (937) 351-49-94, +7 (347) 675-46-55%265017419.0%1020201930517.0%-%23.06.2008%Деятельность ломбарда%Предоставление краткосрочных займов гражданам и хранение вещей%%
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ПРОИЗВОДСТВЕННО-КОММЕРЧЕСКАЯ ФИРМА ""ЛОМБАРД ФОБОС"""%"ООО ПКФ ""ЛОМБАРД ФОБОС"""%453261, Республика Башкортостан, г. САЛАВАТ, УЛИЦА ЛЕНИНА, 5, 11%info@opfobos.ru; http://lombard.opfobos.ru/%тел.: +7 (347) 635-31-14%266000880.0%1020201996814.0%-%07.08.2017%Деятельность ломбарда%Предоставление краткосрочных займов гражданам и хранение вещей%%
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УФИМСКИЙ ЛОМБАРД"""%"ООО ""УФИМСКИЙ ЛОМБАРД"""%450112, Республика Башкортостан, г. УФА, УЛИЦА ПОБЕДЫ, 33%lombard33@mail.ru; -%тел.: +7 (347) 242-49-51%277049817.0%1020203081238.0%-%14.06.2006%Деятельность ломбарда%Предоставление краткосрочных займов гражданам и хранение вещей%%
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛОМБАРД-СВ"""%"ООО ""ЛОМБАРД-СВ"""%167023, Республика Коми, г. СЫКТЫВКАР, УЛИЦА МОРОЗОВА, 10%glombard@yandex.ru; -%тел.: +7 (909) 122-70-07%1101107337.0%1021100523620.0%-%05.12.2007%Деятельность ломбарда%Предоставление краткосрочных займов гражданам и хранение вещей%%
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛОМБАРД-САПФИР"""%"ООО ""ЛОМБАРД-САПФИР"""%362027, Республика Северная Осетия-Алания, г. ВЛАДИКАВКАЗ, УЛИЦА КИРОВА, 57%lombard-sapfir@rambler.ru; -%тел.: +7 (867) 253-81-29, +7 (867) 253-10-27%1503016680.0%1021500672445.0%-%14.12.2007%Деятельность ломбарда%Предоставление краткосрочных займов гражданам и хранение вещей%%
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛОМБАРД-СТАЛДИ"""%"ООО ""ЛОМБАРД-СТАЛДИ"""%420021, Республика Татарстан (Татарстан), Г.О. ГОРОД КАЗАНЬ, ГОРОД КАЗАНЬ, УЛ. ГАБДУЛЛЫ ТУКАЯ, Д. 62А, ПОМЕЩ. 1001%staldi-kazan@bk.ru; -%тел.: +7 (843) 292-85-25%1660038764.0%1021603637417.0%-%01.09.2009%Деятельность ломбарда%Предоставление краткосрочных займов гражданам и хранение вещей%%
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГОРОДСКОЙ ЛОМБАРД"""%"ООО ""ГОРОДСКОЙ ЛОМБАРД"""%427626, Удмуртская Республика, г. ГЛАЗОВ, УЛИЦА ПРЯЖЕННИКОВА, 6, 202%lombard@glazov.net; -%тел.: +7 (341) 413-18-22%1829014053.0%1021801098000.0%-%10.04.2006%Деятельность ломбарда%Предоставление краткосрочных займов гражданам и хранение вещей%%
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛОМБАРД ""САНТУС"""%"ООО ""ЛОМБАРД ""САНТУС"""%426008, Удмуртская Республика, г. ИЖЕВСК, УЛИЦА МАКСИМА ГОРЬКОГО, Д. 152, ОФИС 22%santusoffis@mail.ru; www.santus.org%тел.: +7 (341) 261-23-41, +7 (341) 261-25-12%1831037192.0%1021801146564.0%-%03.12.2007%Деятельность ломбарда%Предоставление краткосрочных займов гражданам и хранение вещей%%
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛОМБАРД ""ИНВЕСТПРОМ"""%"ООО ""ЛОМБАРД ""ИНВЕСТПРОМ"""%426003, Удмуртская Республика, г. ИЖЕВСК, ПРОЕЗД КВАРТАЛЬНЫЙ, 86%investprom@lenta.ru; -%тел.: +7 (341) 278-07-80, +7 (904) 246-04-38%1832027158.0%1021801434841.0%-%20.06.2008%Деятельность ломбарда%Предоставление краткосрочных займов гражданам и хранение вещей%%
